id,listing_url,name,host_id,street,neighbourhood,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,reviews_per_month,borough,english_translation,population,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bookings_per_month,high_availability
7566038,https://www.airbnb.com/rooms/7566038,Luxury design apartment in Center!,5794158,"Amsterdam, Noord-Holland 1017AG, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1017AG,Netherlands,52.36764982,4.898891298,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,1200,4001,500,50,1,0,3,60,352,,Centrum,Central Amsterdam,85000,0,,,,,,,,,,,true
357334,https://www.airbnb.com/rooms/357334,Rembrandt Apartment 3,1477248,"Reguliersdwarsstraat, Amsterdam, North Holland 1017, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36496234,4.894382182,Apartment,Entire home/apt,4,1,2,4,Real Bed,200,1230,3550,,50,2,0,7,180,127,0.14,Centrum,Central Amsterdam,85000,6,2012-03-30,2014-08-17,96,9,9,10,10,10,9,0.28,false
3896500,https://www.airbnb.com/rooms/3896500,Houseboat Southern Comfort,20171636,"Dijksgracht, Amsterdam, North Holland 1019 BT, Netherlands",Centrum-Oost,Amsterdam,North Holland,1019 BT,Netherlands,52.37537151,4.915341263,Boat,Private room,6,1,1,4,Real Bed,180,1250,3751,250,45,4,45,1,1125,146,5.2,Centrum,Central Amsterdam,85000,13,2015-06-22,2015-08-30,95,10,10,10,10,10,9,10.4,false
1010056,https://www.airbnb.com/rooms/1010056,Duplex along canal in citycenter,5557171,"Rapenburgerplein, Amsterdam, Noord-Holland 1011 VH, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1011 VH,Netherlands,52.37113119,4.909833927,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,,,100,50,1,0,3,1125,293,2.44,Centrum,Central Amsterdam,85000,71,2013-04-16,2015-08-10,98,10,10,10,10,10,10,4.88,true
713193,https://www.airbnb.com/rooms/713193,Fabulous 3floor home@city centre!,3670709,"Laagte Kadijk, Amsterdam, North Holland 1018, Netherlands",Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,52.37658261,4.912560001,House,Entire home/apt,5,1.5,3,4,Real Bed,165,1600,,,75,2,55,3,30,293,1.42,Centrum,Central Amsterdam,85000,33,2013-10-07,2015-08-24,92,9,9,10,10,9,8,2.84,true
7494833,https://www.airbnb.com/rooms/7494833,Design loft canal view & roofgarden,32645884,"Rapenburgerplein, Amsterdam, Noord-Holland 1011 VH, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1011 VH,Netherlands,52.36935164,4.910992388,Apartment,Entire home/apt,2,1,1,1,Real Bed,275,,,250,40,1,0,1,1125,17,,Centrum,Central Amsterdam,85000,0,,,,,,,,,,,false
20818,https://www.airbnb.com/rooms/20818,Great apartment on the canal,78857,"Keizersgracht, Amsterdam, North Holland 1017, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36318355,4.89964497,Apartment,Entire home/apt,3,1,1,2,Real Bed,80,,,,,2,22,2,730,1,0.03,Centrum,Central Amsterdam,85000,2,2010-05-09,2014-12-28,100,10,10,10,10,10,10,0.06,false
274706,https://www.airbnb.com/rooms/274706,Beautiful central & quiet apartment,1436134,"Kerkstraat, Amsterdam, North Holland 1017, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36427045,4.88523389,Apartment,Entire home/apt,4,1,2,2,Real Bed,150,1050,2700,250,50,2,40,2,30,328,0.34,Centrum,Central Amsterdam,85000,14,2012-05-01,2015-07-14,97,9,9,9,10,10,9,0.68,true
59963,https://www.airbnb.com/rooms/59963,Amstel canal view Apartment,288514,"Amstel, Amsterdam, North Holland 1017, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36589633,4.900932228,Apartment,Entire home/apt,4,0,1,1,Real Bed,200,,,100,25,4,0,3,14,308,0.72,Centrum,Central Amsterdam,85000,40,2011-01-31,2015-08-20,92,9,9,10,10,10,9,1.44,true
7301045,https://www.airbnb.com/rooms/7301045,Cozy apt Center Amsterdam,12948506,"Fokke Simonszstraat, Amsterdam, Noord-Holland 1017 TG, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1017 TG,Netherlands,52.35930072,4.894605372,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,670,2300,,35,1,0,2,1125,29,4.29,Centrum,Central Amsterdam,85000,6,2015-07-25,2015-08-26,97,10,10,9,10,10,10,8.58,false
20168,https://www.airbnb.com/rooms/20168,Centre Lockable Studio/Pr. Bathroom,59484,"Vijzelstraat, Amsterdam, North Holland 1017, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36508703,4.893541008,House,Private room,2,1,1,1,Real Bed,50,,,,,2,0,1,1000,131,0.82,Centrum,Central Amsterdam,85000,55,2010-03-02,2015-08-31,85,9,9,9,9,10,9,1.64,false
3957290,https://www.airbnb.com/rooms/3957290,A362 B&B on houseboat,3327797,"Amsterdam, North Holland 1017AK, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017AK,Netherlands,52.36570057,4.900378316,Boat,Entire home/apt,2,1,0,1,Real Bed,140,,,,,1,0,2,1125,0,,Centrum,Central Amsterdam,85000,0,,,,,,,,,,,false
5403390,https://www.airbnb.com/rooms/5403390,"Spacious apartment in city center  ",19235713,"Raamgracht, Amsterdam, Noord-Holland 1011 KJ, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1011 KJ,Netherlands,52.36899966,4.89995655,House,Entire home/apt,4,1.5,2,2,Real Bed,175,1523,,,65,2,75,3,7,275,1.23,Centrum,Central Amsterdam,85000,7,2015-03-18,2015-08-07,94,9,9,9,9,10,9,2.46,true
4015174,https://www.airbnb.com/rooms/4015174,Beautiful appartment in the center!,20817250,"Lijnbaansgracht, Amsterdam, North Holland 1017 WZ, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017 WZ,Netherlands,52.35914483,4.890473229,Apartment,Private room,2,1,1,1,Real Bed,105,700,1500,,,1,0,2,14,155,3.88,Centrum,Central Amsterdam,85000,45,2014-09-21,2015-08-31,91,9,9,10,10,10,9,7.76,false
3724341,https://www.airbnb.com/rooms/3724341,"Waterfront Penthouse, City Central",5645449,"Prins Hendrikkade, Amsterdam, North Holland 1011TB, Netherlands",Centrum-Oost,Amsterdam,North Holland,1011TB,Netherlands,52.37120071,4.909924662,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,,5801,500,50,0,0,7,1125,320,0.66,Centrum,Central Amsterdam,85000,7,2014-10-21,2015-08-25,96,10,10,10,10,10,10,1.32,true
